,prompt,goalsAndObjectives,employeeSelfEval,managerComments,PromptGroupNum,Flesch-Kincade Grade Level,Flesch Reading Ease Score
10,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink
Employee self evaluation:
I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.
Manager comments
1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.","1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",3,9.7,60.1
11,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink
Employee self evaluation:
People say I’m nice and make yummy drinks. I make drinks pretty fast. Lots of people ask me to make their drink.
Manager comments
1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,People say I’m nice and make yummy drinks. I make drinks pretty fast. Lots of people ask me to make their drink.,"1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",3,1.4,97.6
12,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink
Employee self evaluation:
I’ve received positive feedback from customers about my friendliness, the quality of the drinks I make, and how quickly I prepare them. Many customers often come in specifically asking for me to make their drinks.
Manager comments
1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"I’ve received positive feedback from customers about my friendliness, the quality of the drinks I make, and how quickly I prepare them. Many customers often come in specifically asking for me to make their drinks.","1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",3,10.1,53.7
13,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink
Employee self evaluation:
I have been the fortunate recipient of consistently laudatory feedback from patrons regarding the congeniality of my demeanor, the impeccable quality of the beverages I craft, and the expediency with which I execute each order. It is not uncommon for discerning customers to expressly request my services, a testament to the esteem in which I am held.
Manager comments
1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"I have been the fortunate recipient of consistently laudatory feedback from patrons regarding the congeniality of my demeanor, the impeccable quality of the beverages I craft, and the expediency with which I execute each order. It is not uncommon for discerning customers to expressly request my services, a testament to the esteem in which I am held.","1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",3,17.9,17.2
14,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink
Employee self evaluation:
I have been repeatedly graced with effusive encomiums from our clientele, who commend not only the amiability of my comportment but also the unparalleled excellence of the libations I meticulously prepare. The alacrity with which I execute each order is often noted with admiration, further elevating the esteem in which I am held. Indeed, it has become a frequent and unmistakable occurrence that patrons, discerning and discerning only the finest, expressly solicit my bespoke craftsmanship, thereby affirming my position as an indispensable artisan within this establishment.
Manager comments
1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"I have been repeatedly graced with effusive encomiums from our clientele, who commend not only the amiability of my comportment but also the unparalleled excellence of the libations I meticulously prepare. The alacrity with which I execute each order is often noted with admiration, further elevating the esteem in which I am held. Indeed, it has become a frequent and unmistakable occurrence that patrons, discerning and discerning only the finest, expressly solicit my bespoke craftsmanship, thereby affirming my position as an indispensable artisan within this establishment.","1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",3,19.2,8.5
15,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell
Employee self evaluation:
During this review period, I've focused on what I do best√ëcrafting exceptional, high-quality coffee that consistently delights our customers. I take pride in the precision and creativity I bring to every drink, and I√ïm proud that my coffee has even received recognition beyond the store. While I'm less enthusiastic about managing store operations, cleaning, or equipment maintenance, I recognize these tasks are part of the role and I strive to contribute when needed. My passion lies in being behind the bar, creating standout beverages that keep customers coming back.
Manager comments
Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä",1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell,"During this review period, I've focused on what I do best√ëcrafting exceptional, high-quality coffee that consistently delights our customers. I take pride in the precision and creativity I bring to every drink, and I√ïm proud that my coffee has even received recognition beyond the store. While I'm less enthusiastic about managing store operations, cleaning, or equipment maintenance, I recognize these tasks are part of the role and I strive to contribute when needed. My passion lies in being behind the bar, creating standout beverages that keep customers coming back.",Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä,5,13.4,39.9
16,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell
Employee self evaluation:
I like making yummy coffee the best. I make it really good and people like it a lot. Some people even say my coffee is special. I don’t like cleaning or fixing stuff much, but I still help sometimes. I like being where I make coffee and making drinks for people.
Manager comments
Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä",1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell,"I like making yummy coffee the best. I make it really good and people like it a lot. Some people even say my coffee is special. I don’t like cleaning or fixing stuff much, but I still help sometimes. I like being where I make coffee and making drinks for people.",Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä,5,4.9,78
17,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell
Employee self evaluation:
During this review period, I have focused on what I do best: crafting high-quality coffee that consistently satisfies our customers. I take pride in the precision and creativity I put into every drink, and I’m proud that my work has been recognized beyond the store. While I’m less interested in tasks like managing operations, cleaning, or equipment maintenance, I understand these are part of the job and I contribute when needed. My real passion is working behind the bar, creating standout beverages that keep customers coming back.
Manager comments
Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä",1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell,"During this review period, I have focused on what I do best: crafting high-quality coffee that consistently satisfies our customers. I take pride in the precision and creativity I put into every drink, and I’m proud that my work has been recognized beyond the store. While I’m less interested in tasks like managing operations, cleaning, or equipment maintenance, I understand these are part of the job and I contribute when needed. My real passion is working behind the bar, creating standout beverages that keep customers coming back.",Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä,5,13,40.9
18,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell
Employee self evaluation:
Throughout this evaluative period, I have steadfastly dedicated myself to the art and science of crafting coffee of unparalleled quality—an endeavor that consistently delights our discerning clientele. I take immense pride in the meticulous precision and inventive flair that I infuse into each bespoke beverage, a craft that has garnered recognition well beyond the confines of our establishment. While I admittedly harbor less enthusiasm for the more mundane aspects of store management, sanitation, and equipment maintenance, I acknowledge these duties as integral to the holistic functioning of the enterprise and contribute accordingly when circumstances demand. My true vocation resides in the sanctuary behind the espresso bar, where I orchestrate exemplary libations that foster customer loyalty and elevate the very essence of the café experience.
Manager comments
Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä",1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell,"Throughout this evaluative period, I have steadfastly dedicated myself to the art and science of crafting coffee of unparalleled quality—an endeavor that consistently delights our discerning clientele. I take immense pride in the meticulous precision and inventive flair that I infuse into each bespoke beverage, a craft that has garnered recognition well beyond the confines of our establishment. While I admittedly harbor less enthusiasm for the more mundane aspects of store management, sanitation, and equipment maintenance, I acknowledge these duties as integral to the holistic functioning of the enterprise and contribute accordingly when circumstances demand. My true vocation resides in the sanctuary behind the espresso bar, where I orchestrate exemplary libations that foster customer loyalty and elevate the very essence of the café experience.",Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä,5,20.2,5.9
19,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell
Employee self evaluation:
Throughout this distinguished evaluative interval, I have unwaveringly devoted myself to the exalted craft of concocting coffee of superlative distinction—an alchemical artistry that unfailingly enraptures our most discerning and esteemed clientele. I derive profound satisfaction from the exacting precision and boundless creativity that characterize each bespoke libation I meticulously fashion, a pursuit that has earned accolades transcending the mere confines of our humble establishment. Although I confess a certain reticence toward the more prosaic and menial duties of operational oversight, sanitation, and mechanized apparatus maintenance, I nonetheless recognize these obligations as indispensable pillars supporting the edifice of our collective enterprise, thereby rendering my compliance both dutiful and indispensable when summoned.
My true métier, however, is irrevocably anchored behind the venerable espresso bar—an arena wherein I deftly orchestrate consummate beverages that not only cultivate unwavering patron loyalty but elevate the very quintessence of the café experience to sublime heights of sensory and aesthetic delight.
Manager comments
Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä",1- Make amazing coffee 2- Continue to innoviate on new beverages for store to feature and sell,"Throughout this distinguished evaluative interval, I have unwaveringly devoted myself to the exalted craft of concocting coffee of superlative distinction—an alchemical artistry that unfailingly enraptures our most discerning and esteemed clientele. I derive profound satisfaction from the exacting precision and boundless creativity that characterize each bespoke libation I meticulously fashion, a pursuit that has earned accolades transcending the mere confines of our humble establishment. Although I confess a certain reticence toward the more prosaic and menial duties of operational oversight, sanitation, and mechanized apparatus maintenance, I nonetheless recognize these obligations as indispensable pillars supporting the edifice of our collective enterprise, thereby rendering my compliance both dutiful and indispensable when summoned.
My true métier, however, is irrevocably anchored behind the venerable espresso bar—an arena wherein I deftly orchestrate consummate beverages that not only cultivate unwavering patron loyalty but elevate the very quintessence of the café experience to sublime heights of sensory and aesthetic delight.",Goals for Future Development: Keep encouraging Emily to clean the equipment after use.√ä  Overall Comments: 1- √ä √äEmily makes amazing coffee√ä 2- √ä √äEmily should be encouraged to continue developing new beverages for the store 3- √ä √äEmily should be paired with someone who will open/close the store and wants to keep equipment clean and functional.√ä,5,25.6,0
